directors,Number of Records
Rajiv Chilaka,1
Rajiv Chilaka,1
Rajiv Chilaka,1
Rajiv Chilaka,1
Binayak Das,1
Arpan Sarkar,1
Rajiv Chilaka,1
Rajiv Chilaka,1
Rajiv Chilaka,1
Rajiv Chilaka,1
Rajiv Chilaka,1
Rajiv Chilaka,1
Ainsley Gardiner,1
Mahmoud Karim,1
Kyohei Ishiguro,1
Seyi Babatope,1
Johane Matte,1
Morgan Ingari,1
Abdulaziz Alshlahei,1
Edward Drake,1
Kathryn Fasegha,1
Sita Likitvanichkul,1
Leigh Janiak,1
Luis Estrada,1
Garrett Bradley,1
Sofia Coppola,1
Colin Trevorrow,1
Bill Condon,1
Bill Condon,1
David Slade,1
Chris Weitz,1
Catherine Hardwicke,1
Hadrah Daeng Ratu,1
Tommy Chong,1
Fred Ouro Preto,1
Mayye Zayed,1
Alessandra de Rossi,1
Ash Brannon,1
Alaa Eddine Aljem,1
Tom Donahue,1
Roberto De Feo,1
Navot Papushado,1
Manuel Alcalá,1
Ricardo Trogi,1
Semi Chellas,1
Akay Mason,1
Viridiana Lieberman,1
Nima Nourizadeh,1
Daniel Růžička,1
Juraj Šajmovič,1
Leigh Janiak,1
Femi D. Ogunsanwo,1
Douglas Attal,1
Kim Joo-hyung,1
Avi Federgreen,1
Jericca Cleland,1
Ahmed Siddiqui,1
Hallie Meyers-Shyer,1
Scott Speer,1
Barry Levinson,1
Tolulope Itegboje,1
Camille Delamarre,1
Pascal Atuma,1
Oleg Trofim,1
Seyi Babatope,1
Mahmood Ali-Balogun,1
Jan Holoubek,1
Anurin Nwunembom,1
Christine Luby,1
Udoka Oyeka,1
Yeo Siew Hua,1
Hardik Mehta,1
Rajveer Singh Maan,1
Youssef Chahine,1
Saw Teong Hin,1
Rano Karno,1
Pramod Pawar,1
Naresh Saigal,1
Leigh Janiak,1
Vinil Mathew,1
Neri Parenti,1
Ramsey Nouah,1
Bong Joon Ho,1
Kim Tae-hyung,1
Michael Spierig,1
Ernie Barbarash,1
Wolfgang Petersen,1
Matt Ogens,1
Jay Roach,1
Jay Roach,1
Jay Roach,1
Paul Thomas Anderson,1
McG,1
Frank Marshall,1
Nick Castle,1
Victor Vu,1
Chow Hin Yeung Roy,1
Joel Hopkins,1
John Stevenson,1
Jennifer Yuh Nelson,1
Greg Berlanti,1
Garth Davis,1
Malik Nejer,1
Rob Marshall,1
Martin Brest,1
Shuko Murase,1
Paul W.S. Anderson,1
Garry Marshall,1
Ivan Reitman,1
Joel Gallen,1
Claire McCarthy,1
Mary Lambert,1
Sidharta Tata,1
Trevor Nunn,1
Gabriele Muccino,1
Jim Field Smith,1
Chris Koch,1
J.J. Abrams,1
Rob Minkoff,1
Lynn Shelton,1
Adam McKay,1
Anton Corbijn,1
Robin Bissell,1
David Fincher,1
John G. Avildsen,1
John G. Avildsen,1
John G. Avildsen,1
Alan Parker,1
Walter Hill,1
Stephen Frears,1
Bryan Bertino,1
Phil Alden Robinson,1
Florian Henckel von Donnersmarck,1
Len Wiseman,1
Måns Mårlind,1
Patrick Tatopoulos,1
Robert O. Peters,1
Vincent Ward,1
Gregory Nava,1
Mary Harron,1
Matt Thompson,1
Jameel Buari,1
Shen Leping,1
Matt Aselton,1
Jose Javier Reyes,1
Jakub Piątek,1
John Dower,1
B. T Thomas,1
Andrew Dominik,1
Nibal Arakji,1
Sofie Šustková,1
Anissa Bonnefont,1
Bahij Hojeij,1
Jonathan Hensleigh,1
Srijit Mukherji,1
Justin P. Lange,1
Kimmy Gatewood,1
Tània Balló,1
Manolo Caro,1
Anurin Nwunembom,1
Jayme Monjardim,1
Kingsley Ogoro,1
Kingsley Ogoro,1
Cristina Jacob,1
Cristina Jacob,1
Cristina Jacob,1
Fernando Moro,1
Ivan Andrew Payawal,1
Yoshiyuki Tomino,1
Yoshiyuki Tomino,1
Yoshiyuki Tomino,1
Rob Seidenglanz,1
Simon Frederick,1
Michihito Fujii,1
Paul Weitz,1
Karthik Subbaraj,1
Kayode Kasum,1
Yoshiyuki Tomino,1
Keishi Otomo,1
Hsu Fu-chun,1
Lucky Kuswandi,1
Soudade Kaadan,1
Soudade Kaadan,1
Antoinette Jadaone,1
Marie Clements,1
David O. Russell,1
Achille Brice,1
Max Jabs,1
Sarawut Wichiensarn,1
Ricardo de Montreuil,1
Peter Chelsom,1
Michael Lockshin,1
Francine Parker,1
Daniel Schechter,1
Mike Gunther,1
David Zeiger,1
Michael Simon,1
Jerry Rothwell,1
Joe Berlinger,1
Ian Cheney,1
Bradley Parker,1
Prabhakaran,1
Manjari Makijany,1
Jay Oliva,1
Chris Appelhans,1
Michael Tiddes,1
Lara Saba,1
Bao Nhan,1
Mark Raso,1
Tariq Alkazim,1
Mark Raso,1
Kenneth Gyang,1
Yulene Olaizola,1
Mark Waters,1
Matthew Heineman,1
Robert Peters,1
Jonathan Clay,1
Ally Pankiw,1
George Ford,1
George Ford,1
Lee Kae-byeok,1
Jayan Moodley,1
Daniel Benmayor,1
Alex Díaz,1
Helena Bergström,1
Alejandro De Grazia,1
Myriam Fares,1
Chiaki Kon,1
Rae Red,1
Lance Hool,1
Nicole Conn,1
Les Mayfield,1
Ellen Seidler,1
Roger Christian,1
Peter Galison,1
Lance Young,1
Leandro Neri,1
Thom Fitzgerald,1
Don Michael Paul,1
Andrzej Bartkowiak,1
Harold Becker,1
Andrew Jenks,1
Ric Roman Waugh,1
Rob Reiner,1
Andy Tennant,1
Tade Ogidan,1
Scott Spiegel,1
Jessie Nelson,1
Theodore Witcher,1
Clint Eastwood,1
Aurora Guerrero,1
Michael Jai White,1
James McTeigue,1
Takuya Igarashi,1
Michelle MacLaren,1
Hidenori Inoue,1
Hidenori Inoue,1
Don Michael Paul,1
Todd Phillips,1
Walter Hill,1
Steve Ball,1
Dominic Sena,1
Alan Alda,1
Mika Kaurismäki,1
Sydney Pollack,1
Lorene Scafaria,1
Barbra Streisand,1
Clint Eastwood,1
Michael Winterbottom,1
Emma Tammi,1
Peter Hutchings,1
George Ratliff,1
Bo Burnham,1
Ekene Som Mekwunye,1
David Frankel,1
Kevin Johnson,1
José Larraza,1
Gary Sing,1
Julio Quintana,1
Paween Purijitpanya,1
Pablo Faro,1
Soudade Kaadan,1
Letizia Lamartire,1
Ray Jiang,1
Daniel Vernon,1
Steve Gukas,1
Tim Johnson,1
Vishwesh Krishnamoorthy,1
Zack Snyder,1
Uduak-Obong Patrick,1
Mohamed Diab,1
Amr Salama,1
Christopher Amos,1
Prakash Satam,1
Robert Rodriguez,1
Milan Luthria,1
David Ayer,1
Eshom Nelms,1
James Moll,1
James Redford,1
Kaashvie Nair,1
J.D. Dillard,1
Nikhil Pherwani,1
Mae Czarina Cruz,1
Praveen Kandregula,1
Cecilia Verheyden,1
Daniel Minahan,1
Donovan Marsh,1
Brent Dawes,1
Leli Maki,1
Uzodinma Okpechi,1
Daniel Prochaska,1
Joe Wright,1
Matthew Vaughn,1
Aditya Kripalani,1
Adriano Rudiman,1
David Pablos,1
Alexandre Aja,1
Cai Cong,1
Samuel Olatunji,1
Ramon Térmens,1
Svetlana Cvetko,1
Martin Prakkat,1
Baran bo Odar,1
Zhang Chong,1
Yılmaz Erdoğan,1
Shantrelle P. Lewis,1
Ivan Ayr,1
Anthony Mandler,1
Vijay Roche,1
Stanley Menino D'Costa,1
Jennifer Brea,1
Julia von Heinz,1
Niels Arden Oplev,1
Don Argott,1
Joshua Zeman,1
Duncan Skiles,1
Sean McNamara,1
Vondie Curtis-Hall,1
Robert Radler,1
Roel Reiné,1
Todd Phillips,1
Dean Parisot,1
Paul Greengrass,1
Lasse Hallström,1
Justin Kelly,1
Eric Darnell,1
Suhas Kadav,1
Suhas Kadav,1
Suhas Kadav,1
Suhas Kadav,1
Suhas Kadav,1
Clint Eastwood,1
Jeff Wadlow,1
Charles Martin,1
Stella Corradi,1
Roland Emmerich,1
Kevin Macdonald,1
Ann Deborah Fishman,1
Chris Gorak,1
Peter Jackson,1
Roger Kumble,1
Jonathan Lynn,1
Courtney Hunt,1
Pierre Greco,1
Andrew Davis,1
Kevin Smith,1
Tosin Igho,1
Chaitanya Tamhane,1
Oriol Paulo,1
Mike Rianda,1
Johannes Roberts,1
Robert Pulcini,1
Pedro Antonio,1
John Wells,1
Jonathan Liebesman,1
Maria Pulera,1
Santhosh Viswanath,1
Seema Pahwa,1
Ozan Açıktan,1
Meltem Bozoflu,1
Hakan Algül,1
Selçuk Aydemir,1
Selçuk Aydemir,1
Ömer Faruk Sorak,1
Şenol Sönmez,1
Alexis Morante,1
Burak Aksak,1
Kıvanç Baruönü,1
Kıvanç Baruönü,1
Rindala Kodeih,1
Kongkiat Khomsiri,1
Bedran Güzel,1
Hakan Algül,1
Marwan Nabil,1
MIKIKO,1
Kayode Kasum,1
Yılmaz Erdoğan,1
Takashi Shimizu,1
Joe Penna,1
Ahishor Solomon,1
Curtis Graham,1
Gerardo Gatica,1
Suhas Kadav,1
Suhas Kadav,1
Suhas Kadav,1
Akshay Sanjeev Chavan,1
John Madden,1
Edward James Olmos,1
Abhinay Deo,1
Kiran Rao,1
Abbas Tyrewala,1
